subject-name,ID,ID-path,Level,Level 1,Level 1 ID,Level 2,Level 2 ID,Level 3,Level 3 ID,Level 4,Level 4 ID,Level 5,Level 5 ID,Level 6,Level 6 ID,Level 7,Level 7 ID,Level 8,Level 8 ID,Level 9,Level 9 ID,Level 10,Level 10 ID,Level 11,Level 11 ID,Level 12,Level 12 ID,Description,Synonyms,German Synonyms,BIC_code_1,BIC_name_1,BIC_code_2,BIC_name_2,BISAC_code_1,BISAC_name_1,BISAC_code_2,BISAC_name_2,DDC_code_1,DDC_name_1,DDC_code_2,DDC_name_2,LCC_code_1,LCC_name_1,LCC_code_2,LCC_name_2,LCSH_code_1,LCSH_name_1,LCSH_code_2,LCSH_name_2,THEMA_code_1,THEMA_name_1,THEMA_code_2,THEMA_name_2,VLB_code_1,VLB_name_1,VLB_code_2,VLB_name_2,Discipline
Physical Sciences,2867,/2867/,1,Physical Sciences,2867,,,,,,,,,,,,,,,,,,,,,,,"The physical science is a branch of science that explore the fundamental principles and natural laws governing the non-living world. They encompass several key disciplines that study the properties and behavior of matter, energy, and the interactions between them.","Physical disciplines, Physical sciences field, Physical sciences sector, Physical sciences research",Physikalische Wissenschaften,P,Mathematics & science,,,SCI000000,SCIENCE / General,,,500,Natural sciences and mathematics,,,Q1-390,Science (General),,,,Science,,,P,Mathematics and Science,,,610,Naturwissenschaften allgemein,,,TRUE
Life Sciences,2874,/2874/,1,Life Sciences,2874,,,,,,,,,,,,,,,,,,,,,,,"Life sciences encompass a broad field of scientific study that focuses on living organisms, including plants, animals, and humans. It involves the exploration and understanding of various aspects of life, ranging from the structure and function of cells and organisms to their interactions within ecosystems.","Biological sciences, Biological research, Life sciences and biotechnology, Biosciences, Life science research, Biological studies",Biologie,PSA,Life sciences: general issues,,,SCI086000,SCIENCE / Life Sciences / General,,,570,Biology,,,QH301-705,Biology (General),,,,Life sciences,,,PSA,Life sciences: general issues,,,670,Biologie,,,TRUE
Humanities and Social Sciences,2883,/2883/,1,Humanities and Social Sciences,2883,,,,,,,,,,,,,,,,,,,,,,,"Social sciences focuses on subjects like economics, psychology, and history, while the humanities explore philosophy, languages and literature, and the arts.","Southern criminology, Third World criminology, Non-Western criminology, Postcolonial criminology, Decolonial criminology",Geisteswissenschaften und Sozialwissenschaften,GT,Interdisciplinary studies,,,NON000000,,,,300,Social sciences,"1,3",Humanities,H1-99,Social sciences (General),AZ19.2-999,History of scholarship and learning. The humanities,,Social sciences,,Humanities,GT,Interdisciplinary studies,,,710,Sozialwissenschaften allgemein,,,TRUE
Technology and Engineering,2887,/2887/,1,Technology and Engineering,2887,,,,,,,,,,,,,,,,,,,,,,,"Engineering is the design and construction of systems and structures for influencing the world around us and enhancing our experience within it. Engineers use the fundamental principles of mathematics, physics and chemistry to create machines that enable us to travel faster, provide improved medical care, and process more complicated information.","Engineerings, Engineering","Technik und Ingenieurwissenschaften, Ingenieurwesen",TBC,Engineering: general,,,TEC000000,TECHNOLOGY & ENGINEERING / General,,,620,Engineering and allied operations,,,T1-995,Technology (General),,,,Engineering,,,TBC,Engineering: general,,,680,Technik,,,TRUE
Mathematics and Computing,2925,/2925/,1,Mathematics and Computing,2925,,,,,,,,,,,,,,,,,,,,,,,"Mathematics and computing is the study and analysis of abstract concepts, such as numbers and patterns. Mathematics is the language of choice for scientifically describing and modelling the universe and everything that happens within it. Computing enables these mathematical problems to be solved in an efficient and automated way.",,Mathematik und Informatik,PB,Mathematics,,,MAT000000,MATHEMATICS / General,,,510,Mathematics,,,QA1-939,Mathematics,,,,Mathematics,,,PB,Mathematics,,,620,Mathematik,,,TRUE
Materials Science,2866,/2867/2866/,2,Physical Sciences,2867,Materials Science,2866,,,,,,,,,,,,,,,,,,,,,"Materials science is an interdisciplinary field involving the properties of matter and its applications to various areas of science and engineering. It includes elements of applied physics and chemistry, as well as chemical, mechanical, civil and electrical engineering.",,Materialwissenschaft,TGM,Materials science,,,TEC021000,TECHNOLOGY & ENGINEERING / Materials Science / General,,,620.11,Engineering materials,,,TA401-492,Materials of engineering and construction,,,,Materials science,,,TGM,Materials science,,,682,"Technik/Maschinenbau, Fertigungstechnik",,,TRUE
Chemistry,2869,/2867/2869/,2,Physical Sciences,2867,Chemistry,2869,,,,,,,,,,,,,,,,,,,,,"Chemistry is a branch of science that involves the study of the composition, structure and properties of matter. Often known as the central science, it is a creative discipline chiefly concerned with atomic and molecular structure and its change, for instance through chemical reactions.","Chemical science, Chemical study, Chemical discipline",Chemie,PN,Chemistry,,,SCI013000,SCIENCE / Chemistry / General,,,540,Chemistry and allied sciences,,,QD1-999,Chemistry,,,,Chemistry,,,PN,Chemistry,,,650,Chemie,,,TRUE
Biological Sciences,2873,/2874/2873/,2,Life Sciences,2874,Biological Sciences,2873,,,,,,,,,,,,,,,,,,,,,"Biological sciences encompasses all the divisions of natural sciences examining various aspects of vital processes. The concept includes anatomy, physiology, cell biology, biochemistry and biophysics, and covers all organisms from microorganisms, animals to plants.","Biologic Sciences, Biological Science, Life Sciences, Biologic Science, Life Science, Biological Science Discipline, Biological Science Disciplines",Biologische Wissenschaften,PSA,Life sciences: general issues,,,SCI086000,SCIENCE / Life Sciences / General,,,570,Biology,,,QH301-705,Biology (General),,,,Biology,,,PSA,Life sciences: general issues,,,670,Biologie,,,TRUE
Health Sciences,2879,/2874/2879/,2,Life Sciences,2874,Health Sciences,2879,,,,,,,,,,,,,,,,,,,,,"The health sciences study all aspects of health, disease and healthcare. This field of study aims to develop knowledge, interventions and technology for use in healthcare to improve the treatment of patients.",,Gesundheitswissenschaften,MB,Medicine: general issues,,,MED000000,MEDICAL / General,,,610,Medicine and health,,,R1,Medicine (General),,,,Medical sciences,,,MB,Medicine: general issues,,,691,Medizin/Allgemeines,,,TRUE
Politics and International Studies,2882,/2883/2882/,2,Humanities and Social Sciences,2883,Politics and International Studies,2882,,,,,,,,,,,,,,,,,,,,,"The study and practice of international relations is interdisciplinary in nature, blending the fields of economics, history, and political science to examine topics such as human rights, global poverty, the environment, economics, globalization, security, global ethics, and the political environment.","Political Factors, Decentralization, Political Factor, Liberalism, Political Activities, Conservatism, Political Activity, Voting","Politikwissenschaft, Internationale Beziehungen, politische Wissenschaft, Politologie",JP,Politics & government,,,POL000000,POLITICAL SCIENCE / General,,,320,Political science (Politics and government),,,JA1-92,Political science (General),,,,Political science,,,JP,Politics and government,,,730,Politikwissenschaft,,,TRUE
